address,address_clean,lat,lon
"1007 EAST 16TH AVENUE SUITE A, CORDELE, Georgia 31015","1007 EAST 16TH AVENUE SUITE A, CORDELE, Georgia 31015",31.9615406,-83.7605275
"811 NORTH 4TH STREET, CORDELE, Georgia 31015-3219","811 NORTH 4TH STREET, CORDELE, Georgia 31015",31.9764353,-83.7782162
"408 EAST 3RD AVENUE, CORDELE, Georgia 31015-3605","408 EAST 3RD AVENUE, CORDELE, Georgia 31015",31.9767428,-83.7778631
"5 MALL ANNEX, SAVANNAH, Georgia 31406","5 MALL ANNEX, SAVANNAH, Georgia 31406",32.001427,-81.102877
"400 MALL BLVD, SAVANNAH, Georgia 31406","400 MALL BLVD, SAVANNAH, Georgia 31406",32.001932,-81.1109288
"1395 EISENHOWER DRIVE, SAVANNAH, Georgia 31406-3901","1395 EISENHOWER DRIVE, SAVANNAH, Georgia 31406",32.002868,-81.0919472
"361 COMMERCIAL DR, SAVANNAH, Georgia 31406","361 COMMERCIAL DR, SAVANNAH, Georgia 31406",32.0055397,-81.1074403
"1000 TOWN CENTER BLVD, POOLER, Georgia 31322","1000 TOWN CENTER BLVD, POOLER, Georgia 31322",32.006934,-80.843415
"310 EISENHOWER DRIVE, SAVANNAH, Georgia 31406-2632","310 EISENHOWER DRIVE, SAVANNAH, Georgia 31406",32.0087259,-81.1089987
"334 STEPHENSON AVE, SAVANNAH, Georgia 31405-5929","334 STEPHENSON AVE, SAVANNAH, Georgia 31405",32.0122589,-81.1075531
"304 STEPHENSON AVENUE, SAVANNAH, Georgia 31405-6007","304 STEPHENSON AVENUE, SAVANNAH, Georgia 31405",32.0125452,-81.1085543
"1001 MEMORIAL LANE, SAVANNAH, Georgia 31410-2936","1001 MEMORIAL LANE, SAVANNAH, Georgia 31410",32.017461,-80.997043
"5353 REYNOLDS STREET, SAVANNAH, Georgia 31405","5353 REYNOLDS STREET, SAVANNAH, Georgia 31405",32.0285179,-81.0996209
"1107 EAST 66TH STREET, SAVANNAH, Georgia 31404-5701","1107 EAST 66TH STREET, SAVANNAH, Georgia 31404",32.0287476,-81.092701
"4700 WATERS AVE, SAVANNAH, Georgia 31404","4700 WATERS AVE, SAVANNAH, Georgia 31404",32.0300585,-81.0888859
"4600 WATERS AVENUE, SAVANNAH, Georgia 31404-6273","4600 WATERS AVENUE, SAVANNAH, Georgia 31404",32.032795,-81.09135
"3802 WATERS AVE, SAVANNAH, Georgia 31404","3802 WATERS AVE, SAVANNAH, Georgia 31404",32.0397998,-81.0885775
"101 LITTLE NECK ROAD, SAVANNAH, Georgia 31419-8868","101 LITTLE NECK ROAD, SAVANNAH, Georgia 31419",32.0562907,-81.300837
"1602 DRAYTON STREET, SAVANNAH, Georgia 31401-7526","1602 DRAYTON STREET, SAVANNAH, Georgia 31401",32.0604448,-81.0975348
"122 HWY 280 W, AMERICUS, Georgia 31719","122 HWY 280 W, AMERICUS, Georgia 31719",32.061328,-84.266703
"33 SOUTH SECOND AVENUE, MCRAE, Georgia 31055","33 SOUTH SECOND AVENUE, MCRAE, Georgia 31055",32.06381,-82.901047
"6814 WASHINGTON STREET, PRESTON, Georgia 31824-4032","6814 WASHINGTON STREET, PRESTON, Georgia 31824",32.0651044,-84.5377709
"89 TELFAIR AVENUE, MC RAE, Georgia 31055-2163","89 TELFAIR AVENUE, MC RAE, Georgia 31055",32.066285,-82.896411
"211 HEALTH DEPARTMENT ROAD, LUMPKIN, Georgia 31815-0000","211 HEALTH DEPARTMENT ROAD, LUMPKIN, Georgia 31815",32.069538,-84.728093
"151 GA HIGHWAY 27 E, AMERICUS, Georgia 31709-5249","151 GA HIGHWAY 27 E, AMERICUS, Georgia 31709",32.071192,-84.205035
"1035 E. FORSYTH ST, AMERICUS, Georgia 31709","1035 E. FORSYTH ST, AMERICUS, Georgia 31709",32.0716505,-84.2126028
"609 EAST LAMAR STREET, AMERICUS, Georgia 31709-3737","609 EAST LAMAR STREET, AMERICUS, Georgia 31709",32.0718196,-84.2270886
"106 EAST BROAD STREET, SAVANNAH, Georgia 31401-2917","106 EAST BROAD STREET, SAVANNAH, Georgia 31401",32.0765614,-81.0849686
